T	81	165807	424402	4229706	
T	82	12	26	38	
T	82	164360	420629	4211198	
T	83	12	26	38	
T	83	166583	424469	4182416	
T	84	12	26	38	
T	84	167360	424272	4153333	
T	85	12	26	38	
T	85	165287	419163	4115294	
T	86	12	26	38	
T	86	166864	422927	4111017	
T	87	12	26	38	
T	87	168654	429077	4136478	
T	88	12	26	38	
T	88	170503	432363	4155117	
T	89	12	26	38	
T	89	172850	437614	4203075	
T	90	12	26	38	
T	90	178990	453423	4249805	
T	91	12	26	38	
T	91	189823	474944	4251510	
T	92	12	26	38	
T	92	195176	487221	4244403	
T	93	12	26	38	
T	93	193126	480877	4220689	
T	94	12	26	38	
T	94	187707	466966	4180359	
T	95	12	26	38	
T	95	187460	464817	4142895	
T	96	12	26	38	
T	96	191644	474317	4132649	
T	97	12	26	38	
T	97	192192	475063	4124164	
T	98	12	26	38	
T	98	195448	481918	4165720	
T	99	12	26	38	
T	99	196534	485998	4227005	
T	100	12	26	38	
T	100	206797	508264	4279630	
T	101	12	26	38	
T	101	207432	510635	4300612	
T	102	12	26	38	
T	102	198882	493315	4291765	
T	103	12	26	38	
T	103	198967	491593	4246316	
T	104	12	26	38	
T	104	201122	493090	4208702	
T	105	12	26	38	
T	105	201193	489712	4177838	
T	106	12	26	38	
T	106	199432	484615	4135434	
T	107	12	26	38	
T	107	194850	473474	4132185	
T	108	12	26	38	
T	108	201898	488225	4166317	
T	109	12	26	38	
T	109	212335	507876	4215616	
T	110	12	26	38	
T	110	217271	515084	4279556	
T	111	12	26	38	
T	111	216540	514229	4325063	
T	112	12	26	38	
T	112	222238	522309	4299778	
T	113	12	26	38	
T	113	227415	531026	4267066	
T	114	12	26	38	
T	114	229952	535104	4232314	
T	115	12	26	38	
T	115	232693	537945	4178409	
T	116	12	26	38	
T	116	227423	525460	4140909	
T	117	12	26	38	
T	117	227297	521376	4116983	
T	118	12	26	38	
T	118	233223	531840	4115514	
T	119	12	26	38	
T	119	237778	538299	4166939	
T	120	12	26	38	
T	120	243646	548782	4233854	
T	121	12	26	38	
T	121	248892	556383	4266102	
T	122	12	26	38	
T	122	253367	564990	4276184	
T	123	12	26	38	
T	123	253788	564917	4247477	
T	124	12	26	38	
T	124	255013	566146	4190053	
T	125	12	26	38	
T	125	256101	566301	4143142	
T	126	12	26	38	
T	126	261799	575887	4100958	
T	127	12	26	38	
T	127	264371	578030	4058436	
T	128	12	26	38	
